,0
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Idaho
7,Illinois
8,Iowa
9,Kansas
10,Kentucky
11,Maine
12,Maryland
13,Michigan
14,Minnesota
15,Mississippi
16,Montana
17,Nebraska
18,New Hampshire
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Utah
29,Vermont
30,Washington
31,West Virginia
32,Wisconsin
33,Wyoming
